Vaccine,Geography.Type,Geography,Survey.Year.Influenza.Season,Dimension.Type,Dimension,Estimate....,X95..CI....,Sample.Size,State,Year,Insured,Uninsured,UrbanicityIndex
Influenza,States,Nebraska,2020,Age,>=18 Years,76.0,72.8 to 79.0,1435,NE,2020,NA,NA,3.901016452371358
Influenza,States,Nebraska,2012,Age,18-24 Years,51.6,44.6 to 58.5,321,NE,2012,457000,83300,3.901016452371358
Influenza,States,Nebraska,2012,Age,>=18 Years,58.8,55.1 to 62.4,1068,NE,2012,457000,83300,3.901016452371358
Influenza,States,Missouri,2021,Age,>=18 Years,56.3,52.2 to 60.4,808,MO,2021,1563500,217900,3.028965886295421
Influenza,States,Missouri,2021,Age,18-24 Years,41.2,32.2 to 50.6,169,MO,2021,1563500,217900,3.028965886295421
Influenza,States,Missouri,2021,Age,25-34 Years,61.1,55.9 to 66.1,493,MO,2021,1563500,217900,3.028965886295421
Influenza,States,Missouri,2021,Age,>=35 Years,58.8,48.6 to 68.5,146,MO,2021,1563500,217900,3.028965886295421
Tdap,States,Missouri,2021,Age,>=18 Years,75.7,71.9 to 79.3,779,MO,2021,1563500,217900,3.028965886295421
Tdap,States,Missouri,2021,Age,18-24 Years,71.2,61.6 to 79.6,158,MO,2021,1563500,217900,3.028965886295421
Tdap,States,Missouri,2021,Age,25-34 Years,78.7,74.0 to 82.9,482,MO,2021,1563500,217900,3.028965886295421
Tdap,States,Missouri,2021,Age,>=35 Years,70.0,59.7 to 79.0,139,MO,2021,1563500,217900,3.028965886295421
Influenza,States,Missouri,2021,Race and Ethnicity,"White, Non-Hispanic",59.0,54.2 to 63.6,585,MO,2021,1563500,217900,3.028965886295421
Influenza,States,Missouri,2021,Race and Ethnicity,"Black, Non-Hispanic",34.3,23.8 to 46.0,113,MO,2021,1563500,217900,3.028965886295421
Influenza,States,Missouri,2021,Race and Ethnicity,Hispanic,NR*,NR*,57,MO,2021,1563500,217900,3.028965886295421
Influenza,States,Missouri,2021,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",NR*,NR*,50,MO,2021,1563500,217900,3.028965886295421
Tdap,States,Missouri,2021,Race and Ethnicity,"White, Non-Hispanic",76.9,72.5 to 80.9,570,MO,2021,1563500,217900,3.028965886295421
Tdap,States,Missouri,2021,Race and Ethnicity,"Black, Non-Hispanic",69.0,56.5 to 79.8,105,MO,2021,1563500,217900,3.028965886295421
Tdap,States,Missouri,2021,Race and Ethnicity,Hispanic,NR*,NR*,52,MO,2021,1563500,217900,3.028965886295421
Tdap,States,Missouri,2021,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",73.5,57.1 to 86.2,50,MO,2021,1563500,217900,3.028965886295421
Influenza,States,Missouri,2013,Age,18-24 Years,49.2,42.8 to 55.6,331,MO,2013,1503700,316500,3.028965886295421
Influenza,States,Missouri,2013,Age,25-34 Years,56.8,52.5 to 61.0,669,MO,2013,1503700,316500,3.028965886295421
Influenza,States,Missouri,2013,Age,>=18 Years,55.2,51.9 to 58.5,1141,MO,2013,1503700,316500,3.028965886295421
Influenza,States,Missouri,2013,Race and Ethnicity,"Black, Non-Hispanic",50.2,40.4 to 60.0,157,MO,2013,1503700,316500,3.028965886295421
Influenza,States,Missouri,2013,Race and Ethnicity,Hispanic,NR*,NR*,46,MO,2013,1503700,316500,3.028965886295421
Influenza,States,Missouri,2013,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",40.2,26.5 to 55.1,60,MO,2013,1503700,316500,3.028965886295421
Influenza,States,Missouri,2015,Age,18-24 Years,54.2,47.5 to 60.8,300,MO,2015,1587500,225900,3.028965886295421
Influenza,States,Missouri,2015,Age,25-34 Years,56.9,52.4 to 61.3,661,MO,2015,1587500,225900,3.028965886295421
Influenza,States,Missouri,2015,Age,>=35 Years,68.0,58.0 to 76.9,136,MO,2015,1587500,225900,3.028965886295421
Influenza,States,Missouri,2015,Race and Ethnicity,"White, Non-Hispanic",60.5,56.7 to 64.2,859,MO,2015,1587500,225900,3.028965886295421
Influenza,States,Missouri,2015,Race and Ethnicity,"Black, Non-Hispanic",43.9,33.2 to 55.0,131,MO,2015,1587500,225900,3.028965886295421
Influenza,States,Missouri,2015,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",50.2,36.2 to 64.2,66,MO,2015,1587500,225900,3.028965886295421
Influenza,States,Missouri,2014,Age,>=18 Years,57.1,53.8 to 60.4,1154,MO,2014,1546500,270500,3.028965886295421
Influenza,States,Missouri,2014,Age,18-24 Years,48.8,42.2 to 55.4,331,MO,2014,1546500,270500,3.028965886295421
Influenza,States,Missouri,2014,Age,25-34 Years,60.6,56.4 to 64.7,681,MO,2014,1546500,270500,3.028965886295421
Influenza,States,Missouri,2014,Age,>=35 Years,61.2,51.5 to 70.3,142,MO,2014,1546500,270500,3.028965886295421
Influenza,States,Missouri,2014,Race and Ethnicity,"White, Non-Hispanic",58.0,54.2 to 61.7,885,MO,2014,1546500,270500,3.028965886295421
Influenza,States,Missouri,2014,Race and Ethnicity,"Black, Non-Hispanic",49.7,40.2 to 59.2,178,MO,2014,1546500,270500,3.028965886295421
Influenza,States,Missouri,2014,Race and Ethnicity,Hispanic,NR*,NR*,NA,MO,2014,1546500,270500,3.028965886295421
Influenza,States,Missouri,2014,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",58.9,44.0 to 72.7,64,MO,2014,1546500,270500,3.028965886295421
Influenza,States,Missouri,2013,Age,>=35 Years,61.8,51.9 to 71.0,141,MO,2013,1503700,316500,3.028965886295421
Influenza,States,Missouri,2013,Race and Ethnicity,"White, Non-Hispanic",56.2,52.4 to 59.9,878,MO,2013,1503700,316500,3.028965886295421
Influenza,States,Missouri,2015,Race and Ethnicity,Hispanic,NR*,NR*,40,MO,2015,1587500,225900,3.028965886295421
Influenza,States,Missouri,2017,Age,>=18 Years,57.7,54.2 to 61.2,1084,MO,2017,1584600,217100,3.028965886295421
Influenza,States,Missouri,2017,Age,18-24 Years,55.2,47.6 to 62.6,250,MO,2017,1584600,217100,3.028965886295421
Influenza,States,Missouri,2017,Age,25-34 Years,56.7,52.2 to 61.1,675,MO,2017,1584600,217100,3.028965886295421
Influenza,States,Missouri,2017,Age,>=35 Years,66.5,57.2 to 74.9,159,MO,2017,1584600,217100,3.028965886295421
Influenza,States,Missouri,2017,Race and Ethnicity,"White, Non-Hispanic",59.0,55.0 to 62.9,810,MO,2017,1584600,217100,3.028965886295421
Influenza,States,Missouri,2017,Race and Ethnicity,"Black, Non-Hispanic",50.8,40.7 to 60.9,162,MO,2017,1584600,217100,3.028965886295421
Influenza,States,Missouri,2017,Race and Ethnicity,Hispanic,NR*,NR*,39,MO,2017,1584600,217100,3.028965886295421
Influenza,States,Missouri,2017,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",57.8,43.9 to 70.9,73,MO,2017,1584600,217100,3.028965886295421
Influenza,States,Missouri,2016,Age,>=18 Years,56.7,53.1 to 60.2,1037,MO,2016,1587300,211700,3.028965886295421
Influenza,States,Missouri,2016,Age,18-24 Years,55.0,47.9 to 62.0,278,MO,2016,1587300,211700,3.028965886295421
Influenza,States,Missouri,2016,Age,25-34 Years,58.0,53.4 to 62.5,618,MO,2016,1587300,211700,3.028965886295421
Influenza,States,Missouri,2016,Age,>=35 Years,54.7,44.5 to 64.6,141,MO,2016,1587300,211700,3.028965886295421
Influenza,States,Missouri,2016,Race and Ethnicity,"White, Non-Hispanic",55.7,51.6 to 59.7,770,MO,2016,1587300,211700,3.028965886295421
Influenza,States,Missouri,2016,Race and Ethnicity,"Black, Non-Hispanic",57.5,46.8 to 67.7,138,MO,2016,1587300,211700,3.028965886295421
Influenza,States,Missouri,2016,Race and Ethnicity,Hispanic,64.9,50.1 to 77.9,63,MO,2016,1587300,211700,3.028965886295421
Influenza,States,Missouri,2016,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",57.2,42.9 to 70.7,65,MO,2016,1587300,211700,3.028965886295421
Influenza,States,Missouri,2019,Age,>=18 Years,64.3,61.2 to 67.4,1566,MO,2019,1559400,233900,3.028965886295421
Influenza,States,Missouri,2019,Age,18-24 Years,55.8,48.6 to 62.8,306,MO,2019,1559400,233900,3.028965886295421
Influenza,States,Missouri,2019,Age,25-34 Years,66.7,62.7 to 70.5,993,MO,2019,1559400,233900,3.028965886295421
Influenza,States,Missouri,2019,Age,>=35 Years,67.9,60.0 to 75.2,267,MO,2019,1559400,233900,3.028965886295421
Influenza,States,Missouri,2019,Race and Ethnicity,"White, Non-Hispanic",65.2,61.5 to 68.7,1131,MO,2019,1559400,233900,3.028965886295421
Influenza,States,Missouri,2019,Race and Ethnicity,"Black, Non-Hispanic",56.3,47.9 to 64.5,268,MO,2019,1559400,233900,3.028965886295421
Influenza,States,Missouri,2019,Race and Ethnicity,Hispanic,NR*,NR*,60,MO,2019,1559400,233900,3.028965886295421
Influenza,States,Missouri,2019,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",68.2,55.0 to 79.6,105,MO,2019,1559400,233900,3.028965886295421
Influenza,States,Missouri,2018,Age,>=18 Years,60.6,56.9 to 64.2,914,MO,2018,1584100,218800,3.028965886295421
Influenza,States,Missouri,2018,Age,18-24 Years,53.2,45.5 to 60.8,222,MO,2018,1584100,218800,3.028965886295421
Influenza,States,Missouri,2018,Age,25-34 Years,62.5,57.8 to 67.0,567,MO,2018,1584100,218800,3.028965886295421
Influenza,States,Missouri,2018,Age,>=35 Years,68.4,58.1 to 77.5,125,MO,2018,1584100,218800,3.028965886295421
Influenza,States,Missouri,2018,Race and Ethnicity,"White, Non-Hispanic",63.1,58.8 to 67.2,669,MO,2018,1584100,218800,3.028965886295421
Influenza,States,Missouri,2018,Race and Ethnicity,"Black, Non-Hispanic",46.5,36.1 to 57.1,137,MO,2018,1584100,218800,3.028965886295421
Influenza,States,Missouri,2018,Race and Ethnicity,Hispanic,NR*,NR*,49,MO,2018,1584100,218800,3.028965886295421
Influenza,States,Missouri,2018,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",64.7,49.2 to 78.3,59,MO,2018,1584100,218800,3.028965886295421
Influenza,States,Missouri,2015,Age,>=18 Years,57.3,53.9 to 60.7,1097,MO,2015,1587500,225900,3.028965886295421
Tdap,States,Missouri,2019,Race and Ethnicity,"White, Non-Hispanic",82.6,79.5 to 85.4,1100,MO,2019,1559400,233900,3.028965886295421
Tdap,States,Missouri,2020,Race and Ethnicity,"White, Non-Hispanic",79.3,75.5 to 82.7,656,MO,2020,NA,NA,3.028965886295421
Tdap,States,Missouri,2018,Race and Ethnicity,"White, Non-Hispanic",79.9,76.2 to 83.3,642,MO,2018,1584100,218800,3.028965886295421
Tdap,States,Missouri,2019,Age,>=18 Years,82.8,80.2 to 85.2,1493,MO,2019,1559400,233900,3.028965886295421
Tdap,States,Missouri,2020,Age,>=18 Years,79.5,76.3 to 82.5,888,MO,2020,NA,NA,3.028965886295421
Tdap,States,Missouri,2018,Age,>=18 Years,79.8,76.6 to 82.8,861,MO,2018,1584100,218800,3.028965886295421
Tdap,States,Missouri,2017,Age,>=18 Years,79.8,76.7 to 82.6,1017,MO,2017,1584600,217100,3.028965886295421
Tdap,States,Missouri,2016,Age,18-24 Years,77.4,70.7 to 83.2,258,MO,2016,1587300,211700,3.028965886295421
Tdap,States,Missouri,2017,Age,18-24 Years,77.0,69.7 to 83.3,230,MO,2017,1584600,217100,3.028965886295421
Tdap,States,Missouri,2015,Age,18-24 Years,60.3,53.2 to 67.1,259,MO,2015,1587500,225900,3.028965886295421
Tdap,States,Missouri,2014,Age,18-24 Years,51.2,44.1 to 58.3,284,MO,2014,1546500,270500,3.028965886295421
Tdap,States,Missouri,2013,Age,18-24 Years,25.4,19.5 to 32.0,267,MO,2013,1503700,316500,3.028965886295421
Tdap,States,Missouri,2012,Age,18-24 Years,18.3,12.7 to 25.1,222,MO,2012,1484200,336400,3.028965886295421
Tdap,States,Missouri,2020,Age,18-24 Years,78.8,71.1 to 85.2,191,MO,2020,NA,NA,3.028965886295421
Tdap,States,Missouri,2012,Age,25-34 Years,10.8,7.6 to 14.8,393,MO,2012,1484200,336400,3.028965886295421
Tdap,States,Missouri,2019,Age,18-24 Years,81.2,74.7 to 86.6,279,MO,2019,1559400,233900,3.028965886295421
Tdap,States,Missouri,2018,Age,18-24 Years,81.2,74.4 to 86.9,209,MO,2018,1584100,218800,3.028965886295421
Tdap,States,Missouri,2016,Race and Ethnicity,"White, Non-Hispanic",73.8,70.0 to 77.4,737,MO,2016,1587300,211700,3.028965886295421
Tdap,States,Missouri,2017,Race and Ethnicity,"White, Non-Hispanic",81.1,77.6 to 84.2,764,MO,2017,1584600,217100,3.028965886295421
Tdap,States,Missouri,2015,Race and Ethnicity,"White, Non-Hispanic",60.3,56.3 to 64.2,774,MO,2015,1587500,225900,3.028965886295421
Tdap,States,Missouri,2014,Race and Ethnicity,"White, Non-Hispanic",49.2,45.2 to 53.2,782,MO,2014,1546500,270500,3.028965886295421
Tdap,States,Missouri,2013,Race and Ethnicity,"White, Non-Hispanic",26.2,22.8 to 29.9,761,MO,2013,1503700,316500,3.028965886295421
Tdap,States,Missouri,2012,Race and Ethnicity,"White, Non-Hispanic",13.6,10.5 to 17.2,535,MO,2012,1484200,336400,3.028965886295421
Tdap,States,Missouri,2020,Race and Ethnicity,Hispanic,81.6,65.1 to 92.6,41,MO,2020,NA,NA,3.028965886295421
Tdap,States,Missouri,2013,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",NR*,NR*,53,MO,2013,1503700,316500,3.028965886295421
Tdap,States,Missouri,2012,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",NR*,NR*,33,MO,2012,1484200,336400,3.028965886295421
Tdap,States,Missouri,2016,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",74.3,60.2 to 85.5,60,MO,2016,1587300,211700,3.028965886295421
Tdap,States,Missouri,2015,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",62.7,47.6 to 76.2,59,MO,2015,1587500,225900,3.028965886295421
Tdap,States,Missouri,2014,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",NR*,NR*,51,MO,2014,1546500,270500,3.028965886295421
Tdap,States,Missouri,2019,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",80.1,68.1 to 89.1,96,MO,2019,1559400,233900,3.028965886295421
Tdap,States,Missouri,2020,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",77.4,62.0 to 88.8,59,MO,2020,NA,NA,3.028965886295421
Tdap,States,Missouri,2018,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",85.1,71.6 to 93.8,53,MO,2018,1584100,218800,3.028965886295421
Tdap,States,Missouri,2017,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",76.0,62.2 to 86.7,70,MO,2017,1584600,217100,3.028965886295421
Tdap,States,Missouri,2020,Race and Ethnicity,"Black, Non-Hispanic",81.1,71.7 to 88.5,130,MO,2020,NA,NA,3.028965886295421
Tdap,States,Missouri,2015,Race and Ethnicity,"Black, Non-Hispanic",45.3,34.1 to 56.9,122,MO,2015,1587500,225900,3.028965886295421
Tdap,States,Missouri,2019,Race and Ethnicity,"Black, Non-Hispanic",84.3,77.3 to 89.8,243,MO,2019,1559400,233900,3.028965886295421
Tdap,States,Missouri,2015,Race and Ethnicity,Hispanic,NR*,NR*,32,MO,2015,1587500,225900,3.028965886295421
Tdap,States,Missouri,2014,Race and Ethnicity,Hispanic,NR*,NR*,NA,MO,2014,1546500,270500,3.028965886295421
Tdap,States,Missouri,2013,Race and Ethnicity,Hispanic,NR*,NR*,39,MO,2013,1503700,316500,3.028965886295421
Tdap,States,Missouri,2012,Race and Ethnicity,Hispanic,NR*,NR*,NA,MO,2012,1484200,336400,3.028965886295421
Tdap,States,Missouri,2019,Race and Ethnicity,Hispanic,85.1,69.0 to 94.8,52,MO,2019,1559400,233900,3.028965886295421
Tdap,States,Missouri,2018,Race and Ethnicity,Hispanic,84.9,67.5 to 95.2,43,MO,2018,1584100,218800,3.028965886295421
Tdap,States,Missouri,2016,Race and Ethnicity,Hispanic,NR*,NR*,55,MO,2016,1587300,211700,3.028965886295421
Tdap,States,Missouri,2017,Race and Ethnicity,Hispanic,NR*,NR*,37,MO,2017,1584600,217100,3.028965886295421
Tdap,States,Missouri,2013,Age,>=18 Years,26.4,23.3 to 29.7,981,MO,2013,1503700,316500,3.028965886295421
Tdap,States,Missouri,2012,Age,>=18 Years,14.0,11.2 to 17.2,688,MO,2012,1484200,336400,3.028965886295421
Tdap,States,Missouri,2016,Age,>=18 Years,73.5,70.2 to 76.6,981,MO,2016,1587300,211700,3.028965886295421
Tdap,States,Missouri,2015,Age,>=18 Years,57.7,54.1 to 61.3,988,MO,2015,1587500,225900,3.028965886295421
Tdap,States,Missouri,2014,Age,>=18 Years,49.1,45.5 to 52.7,1002,MO,2014,1546500,270500,3.028965886295421
Tdap,States,Missouri,2018,Race and Ethnicity,"Black, Non-Hispanic",75.1,64.3 to 84.0,123,MO,2018,1584100,218800,3.028965886295421
Tdap,States,Missouri,2017,Race and Ethnicity,"Black, Non-Hispanic",78.0,68.3 to 85.9,146,MO,2017,1584600,217100,3.028965886295421
Tdap,States,Missouri,2020,Age,>=35 Years,83.4,75.9 to 89.3,155,MO,2020,NA,NA,3.028965886295421
Tdap,States,Missouri,2012,Race and Ethnicity,"Black, Non-Hispanic",NR*,NR*,93,MO,2012,1484200,336400,3.028965886295421
Tdap,States,Missouri,2015,Age,>=35 Years,53.4,42.6 to 64.0,119,MO,2015,1587500,225900,3.028965886295421
Tdap,States,Missouri,2016,Race and Ethnicity,"Black, Non-Hispanic",76.2,66.2 to 84.5,128,MO,2016,1587300,211700,3.028965886295421
Tdap,States,Missouri,2013,Race and Ethnicity,"Black, Non-Hispanic",29.0,19.8 to 39.7,128,MO,2013,1503700,316500,3.028965886295421
Tdap,States,Missouri,2014,Race and Ethnicity,"Black, Non-Hispanic",48.1,37.8 to 58.5,148,MO,2014,1546500,270500,3.028965886295421
Tdap,States,Missouri,2019,Age,>=35 Years,80.4,72.9 to 86.6,258,MO,2019,1559400,233900,3.028965886295421
Tdap,States,Missouri,2018,Age,>=35 Years,75.6,65.5 to 84.0,119,MO,2018,1584100,218800,3.028965886295421
Tdap,States,Missouri,2016,Age,>=35 Years,64.8,54.3 to 74.4,134,MO,2016,1587300,211700,3.028965886295421
Tdap,States,Missouri,2017,Age,>=35 Years,75.1,66.0 to 82.8,151,MO,2017,1584600,217100,3.028965886295421
Tdap,States,Missouri,2019,Age,25-34 Years,83.9,80.7 to 86.8,956,MO,2019,1559400,233900,3.028965886295421
Tdap,States,Missouri,2020,Age,25-34 Years,78.6,74.4 to 82.4,542,MO,2020,NA,NA,3.028965886295421
Tdap,States,Missouri,2013,Age,>=35 Years,25.7,17.3 to 35.7,126,MO,2013,1503700,316500,3.028965886295421
Tdap,States,Missouri,2014,Age,>=35 Years,40.5,30.8 to 50.8,127,MO,2014,1546500,270500,3.028965886295421
Tdap,States,Missouri,2012,Age,>=35 Years,17.7,9.0 to 29.8,73,MO,2012,1484200,336400,3.028965886295421
Tdap,States,Missouri,2015,Age,25-34 Years,57.2,52.6 to 61.7,610,MO,2015,1587500,225900,3.028965886295421
Tdap,States,Missouri,2018,Age,25-34 Years,80.0,75.9 to 83.7,533,MO,2018,1584100,218800,3.028965886295421
Tdap,States,Missouri,2017,Age,25-34 Years,81.9,78.1 to 85.3,636,MO,2017,1584600,217100,3.028965886295421
Tdap,States,Missouri,2016,Age,25-34 Years,73.4,69.1 to 77.4,589,MO,2016,1587300,211700,3.028965886295421
Tdap,States,Missouri,2014,Age,25-34 Years,49.8,45.2 to 54.4,591,MO,2014,1546500,270500,3.028965886295421
Tdap,States,Missouri,2013,Age,25-34 Years,27.0,23.0 to 31.2,588,MO,2013,1503700,316500,3.028965886295421
Influenza,States,Missouri,2022,Race and Ethnicity,"White, Non-Hispanic",53.9,49.3 to 58.5,584,MO,2022,1592900,182400,3.028965886295421
Influenza,States,Missouri,2022,Race and Ethnicity,"Black, Non-Hispanic",48.6,36.4 to 61.0,115,MO,2022,1592900,182400,3.028965886295421
Influenza,States,Missouri,2022,Race and Ethnicity,Hispanic,NR*,NR*,54,MO,2022,1592900,182400,3.028965886295421
Influenza,States,Missouri,2022,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",NR*,NR*,58,MO,2022,1592900,182400,3.028965886295421
Tdap,States,Missouri,2022,Race and Ethnicity,"White, Non-Hispanic",76.0,71.8 to 79.8,562,MO,2022,1592900,182400,3.028965886295421
Tdap,States,Missouri,2022,Race and Ethnicity,"Black, Non-Hispanic",63.9,51.2 to 75.3,112,MO,2022,1592900,182400,3.028965886295421
Tdap,States,Missouri,2022,Race and Ethnicity,Hispanic,90.0,77.5 to 96.9,51,MO,2022,1592900,182400,3.028965886295421
Tdap,States,Missouri,2022,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",81.4,67.4 to 91.2,59,MO,2022,1592900,182400,3.028965886295421
Influenza,States,Missouri,2022,Age,18-24 Years,43.8,35.5 to 52.3,187,MO,2022,1592900,182400,3.028965886295421
Influenza,States,Missouri,2022,Age,25-34 Years,58.0,52.9 to 63.0,493,MO,2022,1592900,182400,3.028965886295421
Tdap,States,Missouri,2022,Age,18-24 Years,68.0,59.5 to 75.7,171,MO,2022,1592900,182400,3.028965886295421
Tdap,States,Missouri,2022,Age,25-34 Years,78.0,73.4 to 82.1,483,MO,2022,1592900,182400,3.028965886295421
Influenza,States,Missouri,2022,Age,>=18 Years,54.1,50.1 to 58.1,813,MO,2022,1592900,182400,3.028965886295421
Influenza,States,Missouri,2022,Age,>=35 Years,57.0,46.9 to 66.7,133,MO,2022,1592900,182400,3.028965886295421
Tdap,States,Missouri,2022,Age,>=18 Years,75.7,72.1 to 79.1,786,MO,2022,1592900,182400,3.028965886295421
Tdap,States,Missouri,2022,Age,>=35 Years,79.7,70.7 to 86.9,132,MO,2022,1592900,182400,3.028965886295421
Influenza,States,Illinois,2012,Age,>=18 Years,49.1,45.7 to 52.5,1037,IL,2012,3289800,657700,2.231777347252018
Influenza,States,Illinois,2012,Age,18-24 Years,42.5,35.3 to 50.0,235,IL,2012,3289800,657700,2.231777347252018
Influenza,States,Illinois,2020,Age,>=18 Years,65.1,62.0 to 68.1,1188,IL,2020,NA,NA,2.231777347252018
Influenza,States,Illinois,2020,Age,>=35 Years,72.1,65.5 to 78.1,264,IL,2020,NA,NA,2.231777347252018
Influenza,States,Illinois,2012,Age,25-34 Years,48.5,44.1 to 52.9,606,IL,2012,3289800,657700,2.231777347252018
Influenza,States,Illinois,2012,Age,>=35 Years,60.0,52.2 to 67.5,196,IL,2012,3289800,657700,2.231777347252018
Influenza,States,Illinois,2020,Age,25-34 Years,67.2,63.2 to 71.0,710,IL,2020,NA,NA,2.231777347252018
Influenza,States,Illinois,2020,Age,18-24 Years,50.3,42.6 to 57.9,214,IL,2020,NA,NA,2.231777347252018
Influenza,States,Illinois,2020,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",83.9,73.6 to 91.4,98,IL,2020,NA,NA,2.231777347252018
Influenza,States,Illinois,2020,Race and Ethnicity,Hispanic,67.2,60.0 to 73.8,230,IL,2020,NA,NA,2.231777347252018
Influenza,States,Illinois,2020,Race and Ethnicity,"Black, Non-Hispanic",36.2,28.6 to 44.4,197,IL,2020,NA,NA,2.231777347252018
Influenza,States,Illinois,2012,Race and Ethnicity,"Black, Non-Hispanic",37.5,27.3 to 48.6,115,IL,2012,3289800,657700,2.231777347252018
Influenza,States,Illinois,2012,Race and Ethnicity,Hispanic,47.7,40.9 to 54.5,251,IL,2012,3289800,657700,2.231777347252018
Influenza,States,Illinois,2020,Race and Ethnicity,"White, Non-Hispanic",70.0,65.9 to 73.8,659,IL,2020,NA,NA,2.231777347252018
Influenza,States,Illinois,2012,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",51.1,39.1 to 63.1,91,IL,2012,3289800,657700,2.231777347252018
Influenza,States,Illinois,2012,Race and Ethnicity,"White, Non-Hispanic",52.2,47.8 to 56.6,578,IL,2012,3289800,657700,2.231777347252018
Influenza,States,Minnesota,2019,Age,>=18 Years,70.0,66.3 to 73.5,1039,MN,2019,1545600,89100,2.6943220648487087
Influenza,States,Minnesota,2019,Age,18-24 Years,63.3,53.1 to 72.7,206,MN,2019,1545600,89100,2.6943220648487087
Influenza,States,Minnesota,2019,Age,25-34 Years,73.5,69.1 to 77.6,635,MN,2019,1545600,89100,2.6943220648487087
